County,State,FIPS Code,Population,Area,Density
Autauga,Alabama,01001,59095,594,99
Baldwin,Alabama,01003,239294,1589,151
Barbour,Alabama,01005,24964,884,28
Bibb,Alabama,01007,22477,622,36
Blount,Alabama,01009,59041,644,92
Bullock,Alabama,01011,10320,622,17
Butler,Alabama,01013,18884,776,24
Calhoun,Alabama,01015,115972,605,192
Chambers,Alabama,01017,34541,596,58
Cherokee,Alabama,01019,24996,553,45
Chilton,Alabama,01021,45274,692,65
Choctaw,Alabama,01023,12533,913,14
Clarke,Alabama,01025,22760,1238,18
Clay,Alabama,01027,14190,603,24
Cleburne,Alabama,01029,15103,560,27
Coffee,Alabama,01031,54174,678,80
Colbert,Alabama,01033,57474,592,97
Conecuh,Alabama,01035,11328,850,13
Coosa,Alabama,01037,10450,650,16
Covington,Alabama,01039,37524,1030,36
Crenshaw,Alabama,01041,13083,608,22
Cullman,Alabama,01043,89496,734,122
Dale,Alabama,01045,49342,561,88
Dallas,Alabama,01047,37619,978,38
DeKalb,Alabama,01049,71813,777,92
Elmore,Alabama,01051,89304,618,145
Escambia,Alabama,01053,36699,945,39
Etowah,Alabama,01055,103162,534,193
Fayette,Alabama,01057,16148,627,26
Franklin,Alabama,01059,32013,633,51
Geneva,Alabama,01061,26701,574,47
Greene,Alabama,01063,7629,647,12
Hale,Alabama,01065,14754,643,23
Henry,Alabama,01067,17459,561,31
Houston,Alabama,01069,107458,579,186
Jackson,Alabama,01071,52773,1077,49
Jefferson,Alabama,01073,667820,1111,601
Lamar,Alabama,01075,13689,604,23
Lauderdale,Alabama,01077,94043,667,141
Lawrence,Alabama,01079,33090,690,48
Lee,Alabama,01081,177218,607,292
Limestone,Alabama,01083,107517,559,192
Lowndes,Alabama,01085,9965,715,14
Macon,Alabama,01087,18895,608,31
Madison,Alabama,01089,395211,801,493
Marengo,Alabama,01091,18996,976,19
Marion,Alabama,01093,29246,742,39
Marshall,Alabama,01095,98228,565,174
Mobile,Alabama,01097,413073,1229,336
Monroe,Alabama,01099,19648,1025,19
Montgomery,Alabama,01101,227434,784,290
Morgan,Alabama,01103,123668,579,214
Perry,Alabama,01105,8355,719,12
Pickens,Alabama,01107,18801,881,21
Pike,Alabama,01109,32991,672,49
Randolph,Alabama,01111,21989,580,38
Russell,Alabama,01113,58722,641,92
St. Clair,Alabama,01115,92748,631,147
Shelby,Alabama,01117,226902,784,289
Sumter,Alabama,01119,12164,903,13
Talladega,Alabama,01121,81524,736,111
Tallapoosa,Alabama,01123,41023,716,57
Tuscaloosa,Alabama,01125,227007,1321,172
Walker,Alabama,01127,64818,791,82
Washington,Alabama,01129,15147,1080,14
Wilcox,Alabama,01131,10446,888,12
Winston,Alabama,01133,23652,612,39
