Country,admin0Pcode,admin1Pcode,admin1Name_en,admin1Name_ru,admin2Pcode,admin2Name_ru,admin2Name_en,admin2Type_ru,admin2Type_ky,admin2Type_en,T_TL,Urban_pop,Rural_pop
#country +v_iso2,#country +pcode,#adm1 +pcode,#adm1 +name +i_en,#adm1 +name +i_ru,#adm2 +pcode,#adm2 +name +i_ru,#adm2 +name +i_en,#loc +i_ru,#loc +i_ky,#loc +i_en,#population +all,#population+urban,#population+rural
KG,4.17E+13,4.1702E+13,Issyk-Kul,Иссык-Кульская,4.17022E+13,Ак-Суйский,Ak-Suu,район,raion,district,"68,300",0,"68,300"
KG,4.17E+13,4.1702E+13,Issyk-Kul,Иссык-Кульская,4.17022E+13,Жети-Огузский,Jeti-Oguz,район,raion,district,"90,400",0,"90,400"
KG,4.17E+13,4.1702E+13,Issyk-Kul,Иссык-Кульская,4.17022E+13,Иссык-Кульский,Issyk-Kul,район,raion,district,"82,100","13,300","68,800"
KG,4.17E+13,4.1702E+13,Issyk-Kul,Иссык-Кульская,4.17022E+13,Тонский,Ton,район,raion,district,"52,600",0,"52,600"
KG,4.17E+13,4.1702E+13,Issyk-Kul,Иссык-Кульская,4.17022E+13,Тюпский,Tup,район,raion,district,"63,900",0,"63,900"
KG,4.17E+13,4.1702E+13,Issyk-Kul,Иссык-Кульская,4.17024E+13,Каракол,Karakol (city),города областного значения,shaar,independent city,"77,700","77,700",0
KG,4.17E+13,4.1702E+13,Issyk-Kul,Иссык-Кульская,4.17024E+13,Балыкчы,Balykchy (city),города областного значения,shaar,independent city,"48,000","48,000",0
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Ала-Букинский,Ala-Buka,район,raion,district,"102,200",0,"102,200"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Базар-Коргонский,Bazar-Korgon,район,raion,district,"171,700",0,"171,700"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Аксыйский,Aksy,район,raion,district,"131,400","17,900","113,500"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Ноокенский,Nooken,район,raion,district,"137,000","16,500","120,500"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Сузакский,Suzak,район,raion,district,"288,600","11,600","277,000"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Тогуз-Тороуский,Toguz-Toro,район,raion,district,"24,500",0,"24,500"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Токтогульский,Toktogul,район,raion,district,"98,800","19,400","79,400"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Чаткальский,Chatkal,район,raion,district,"27,100",0,"27,100"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17034E+13,Джалал-Абад,Jalal-Abad (city),города областного значения,shaar,independent city,"117,200","107,500","9,700"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17034E+13,Таш-Кумыр,Tash-Kumir (city),города областного значения,shaar,independent city,"41,300","37,300","4,000"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17034E+13,Майлуу-Суу,Mailuu-Suu (city),города областного значения,shaar,independent city,"25,400","25,400",0
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17034E+13,Кара-Куль,Kara-Kul (city),города областного значения,shaar,independent city,"25,400","23,600","1,800"
KG,4.17E+13,4.1703E+13,Jalal-Abad,Джалал-Абадская,4.17032E+13,Кок-Жангак,Kok-Zhangak (city),города областного значения,shaar,independent city,"11,600","11,600",0
KG,4.17E+13,4.1704E+13,Naryn,Нарынская,4.17042E+13,Ак-Талинский,Ak-Tala,район,raion,district,"32,400",0,"32,400"
KG,4.17E+13,4.1704E+13,Naryn,Нарынская,4.17042E+13,Ат-Башынский,At-Bashy,район,raion,district,"54,200",0,"54,200"
KG,4.17E+13,4.1704E+13,Naryn,Нарынская,4.17042E+13,Жумгальский,Jumgal,район,raion,district,"43,800",0,"43,800"
KG,4.17E+13,4.1704E+13,Naryn,Нарынская,4.17042E+13,Кочкорский,Kochokor,район,raion,district,"65,400",0,"65,400"
KG,4.17E+13,4.1704E+13,Naryn,Нарынская,4.17042E+13,Нарынский,Naryn,район,raion,district,"48,700",0,"48,700"
KG,4.17E+13,4.1704E+13,Naryn,Нарынская,4.17044E+13,Нарын,Naryn (city),города областного значения,shaar,independent city,"39,300","39,300",0
KG,4.17E+13,4.1705E+13,Batken,Баткенская,4.17052E+13,Баткенский,Batken,район,raion,district,"86,600",0,"86,600"
KG,4.17E+13,4.1705E+13,Batken,Баткенская,4.17052E+13,Лейлекский,Leilek,район,raion,district,"137,100","21,500","115,600"
KG,4.17E+13,4.1705E+13,Batken,Баткенская,4.17053E+13,Кадамжайский,Kadamjai,район,raion,district,"189,100","20,300","168,800"
KG,4.17E+13,4.1705E+13,Batken,Баткенская,4.17054E+13,Баткен,Batken (city),города областного значения,shaar,independent city,"25,000","17,600","7,400"
KG,4.17E+13,4.1705E+13,Batken,Баткенская,4.17054E+13,Сулюкта,Sulukta (city),города областного значения,shaar,independent city,"23,200","22,400",800
KG,4.17E+13,4.1705E+13,Batken,Баткенская,4.17054E+13,Кызыл-Кия,Kyzyl-Kia (city),города областного значения,shaar,independent city,"52,600","39,300","13,300"
KG,4.17E+13,4.1706E+13,Osh,Ошская,4.17062E+13,Алайский,Alai,район,raion,district,"84,700",0,"84,700"
KG,4.17E+13,4.1706E+13,Osh,Ошская,4.17062E+13,Араванский,Aravan,район,raion,district,"128,900",0,"128,900"
KG,4.17E+13,4.1706E+13,Osh,Ошская,4.17062E+13,Кара-Сууский,Kara-suu,район,raion,district,"421,400","25,100","396,300"
KG,4.17E+13,4.1706E+13,Osh,Ошская,4.17062E+13,Ноокатский,Nookat,район,raion,district,"283,400","17,000","266,400"
KG,4.17E+13,4.1706E+13,Osh,Ошская,4.17062E+13,Кара-Кулжинский,Kara-Kulja,район,raion,district,"98,100",0,"98,100"
KG,4.17E+13,4.1706E+13,Osh,Ошская,4.17063E+13,Узгенский,Uzgen,район,raion,district,"267,200","58,800","208,400"
KG,4.17E+13,4.1706E+13,Osh,Ошская,4.17063E+13,Чон-Алайский,Chon-Alai,район,raion,district,"30,400",0,"30,400"
KG,4.17E+13,4.1707E+13,Talas,Таласская,4.17072E+13,Кара-Бууринский,Kara-Buura,район,raion,district,"65,800",0,"65,800"
KG,4.17E+13,4.1707E+13,Talas,Таласская,4.17072E+13,Бакай-Атинский,Bakai-Ata,район,raion,district,"51,000",0,"51,000"
KG,4.17E+13,4.1707E+13,Talas,Таласская,4.17072E+13,Манасский,Manas,район,raion,district,"36,400",0,"36,400"
KG,4.17E+13,4.1707E+13,Talas,Таласская,4.17072E+13,Таласский,Talas,район,raion,district,"68,100",0,"68,100"
KG,4.17E+13,4.1707E+13,Talas,Таласская,4.17074E+13,Талас,Talas (city),города областного значения,shaar,independent city,"37,700","37,700",0
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Аламудунский,Alamudun,район,raion,district,"176,600",0,"176,600"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Ысык-Атинский,Ysyk-Ata,район,raion,district,"147,900","21,700","126,200"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Жайылский,Jaiyl,район,raion,district,"106,600","46,100","60,500"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Кеминский,Kemin,район,raion,district,"46,600","16,100","30,500"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Московский,Moscow,район,raion,district,"96,500",0,"96,500"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Панфиловский,Panfilov,район,raion,district,"45,900","9,100","36,800"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Сокулукский,Sokuluk,район,raion,district,"184,100","9,900","174,200"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17082E+13,Чуйский,Chui,район,raion,district,"54,300",0,"54,300"
KG,4.17E+13,4.1708E+13,Chui,Чуйская,4.17084E+13,Токмок,Tokmok (city),города областного значения,shaar,independent city,"63,200","63,200",0
