code,total_thefts
E09000002,1289
E09000003,1607
E09000004,276
E09000005,3015
E09000006,1002
E09000007,18446
E09000008,1351
E09000009,1763
E09000010,2103
E09000011,1619
E09000012,11166
E09000013,2076
E09000014,5426
E09000015,1489
E09000016,736
E09000017,1011
E09000018,1335
E09000019,9398
E09000020,5264
E09000021,1203
E09000022,8818
E09000023,2426
E09000024,520
E09000025,8729
E09000026,2604
E09000027,379
E09000028,13955
E09000029,400
E09000030,6807
E09000031,2805
E09000032,2127
E09000033,60431
SO18,18
