Term Number,Name,Birth Year,Birth Date,Inauguration Date,Age at Inauguration,Average Age up to Term
1,George Washington,1732,1732-01-01,1789-04-03,57.25,57.25
2,John Adams,1735,1735-01-01,1797-03-04,62.17,59.71
3,Thomas Jefferson,1743,1743-01-01,1801-03-04,58.17,59.2
4,James Madison,1751,1751-01-01,1809-03-04,58.17,58.94
5,James Monroe,1758,1758-01-01,1817-03-04,59.17,58.99
6,John Quincy Adams,1767,1767-01-01,1825-03-04,58.17,58.85
7,Andrew Jackson,1767,1767-01-01,1829-03-04,62.17,59.32
8,Martin Van Buren,1782,1782-01-01,1837-03-04,55.17,58.8
9,William Henry Harrison,1773,1773-01-01,1841-03-04,68.17,59.84
10,John Tyler,1790,1790-01-01,1845-03-04,55.17,59.38
11,James K. Polk,1795,1795-01-01,1845-03-04,50.17,58.54
12,Zachary Taylor,1784,1784-01-01,1849-03-04,65.17,59.09
13,Millard Fillmore,1800,1800-01-01,1850-07-09,50.52,58.43
14,Franklin Pierce,1804,1804-01-01,1853-03-04,49.17,57.77
15,James Buchanan,1791,1791-01-01,1857-03-04,66.17,58.33
16,Abraham Lincoln,1809,1809-01-01,1861-03-04,52.17,57.95
17,Andrew Johnson,1808,1808-01-01,1865-04-15,57.29,57.91
18,Ulysses S. Grant,1822,1822-01-01,1869-03-04,47.17,57.31
19,Rutherford B. Hayes,1822,1822-01-01,1877-03-04,55.17,57.2
20,James A. Garfield,1831,1831-01-01,1881-03-04,50.17,56.85
21,Chester A. Arthur,1829,1829-01-01,1881-09-19,52.71,56.65
22,Grover Cleveland,1837,1837-01-01,1885-03-04,48.17,56.26
23,Benjamin Harrison,1833,1833-01-01,1889-03-04,56.17,56.26
24,Grover Cleveland,1837,1837-01-01,1893-03-04,56.17,56.26
25,William McKinley,1843,1843-01-01,1897-03-04,54.17,56.17
26,Theodore Roosevelt,1858,1858-01-01,1901-09-14,43.7,55.69
27,William Howard Taft,1857,1857-01-01,1909-03-04,52.17,55.56
28,Woodrow Wilson,1856,1856-01-01,1913-03-04,57.17,55.62
29,Warren G. Harding,1865,1865-01-01,1921-03-04,56.17,55.64
30,Calvin Coolidge,1872,1872-01-01,1923-08-02,51.58,55.5
31,Herbert Hoover,1874,1874-01-01,1929-03-04,55.17,55.49
32,Franklin D. Roosevelt,1882,1882-01-01,1933-03-04,51.17,55.36
33,Harry S. Truman,1884,1884-01-01,1945-04-12,61.28,55.54
34,Dwight D. Eisenhower,1890,1890-01-01,1953-01-02,63.0,55.76
35,John F. Kennedy,1917,1917-01-01,1961-01-02,44.0,55.42
36,Lyndon B. Johnson,1908,1908-01-01,1963-11-22,55.89,55.43
37,Richard Nixon,1913,1913-01-01,1969-01-02,56.0,55.45
38,Gerald Ford,1913,1913-01-01,1974-08-09,61.6,55.61
39,Jimmy Carter,1924,1924-01-01,1977-01-02,53.0,55.54
40,Ronald Reagan,1911,1911-01-01,1981-01-02,70.0,55.91
41,George H. W. Bush,1924,1924-01-01,1989-01-02,65.0,56.13
42,Bill Clinton,1946,1946-01-01,1993-01-02,47.0,55.91
43,George W. Bush,1946,1946-01-01,2001-01-02,55.0,55.89
44,Barack Obama,1961,1961-01-01,2009-01-02,48.0,55.71
45,Donald Trump,1946,1946-01-01,2017-01-02,71.0,56.05
46,Joe Biden,1942,1942-01-01,2021-01-02,79.0,56.55
